quizzes,solutions
008300094005080000000001200803000070050060000064013002510070020000130006000005000,128356794475289163639741285893524671251967438764813952516478329987132546342695817
800020300450700020020600100040000000000005610001900000005000000600078500000010209,816429375453781926927653184548162793379845612261937458135294867692378541784516239
084000000002309000500002000030000000000700830096000004400100500800000710060008020,384617952672359148519482367738241695245796831196835274427163589853924716961578423
000000000002009173030060040100900300000050060000024008203006000600070009870100000,784213695562849173931765842156987324428351967397624518243596781615478239879132456
000501008000000607789000400000800060000700000071000005010902000600030080904000003,246571398135498627789326451593814762862753149471269835318942576627135984954687213
000000601900002000000070400040008930008009207000013000003004700700000006090060020,824935671976142583531876492147628935368459217259713864613284759782591346495367128
350000097000000640710200000000005102000020956000070080480610000000800000005004000,354186297298537641716249835849365172173428956562971483487613529931852764625794318
300020000010000009470080005060004090040700020000002007000006030000070010530010600,356429781812567349479183265267854193945731826183692457791246538628375914534918672
002080000070509000000037040000000065500200900080050003620900000000000170850000000,362481597478529316195637248214398765536274981789156423627913854943865172851742639
000001400000009060094007031001063704009040000020000000802000040010390600000100000,367821495158439267294657831581963724679245318423718956832576149715394682946182573
400201070000400000500030102062000908900100000000000003030804020008020000010000406,493261875821457639576938142362745918957183264184692753639814527748526391215379486
090001840025008000001400060000007400070000012600900000100070000000000009904105006,396521847425768931781493265812657493579834612643912578168279354257346189934185726
000000700200000008000012300401095200800001040060000005109800603500020400000700000,615348792243976518798512364431695287857231946962487135179854623586123479324769851
200910070041000060000300000080500490000000000003670501009000087300000100006090000,235916874941287365768354912187523496652149738493678521529431687374862159816795243
060305002001000503002740000040500200703008100080000060000000350000000801000060000,867395412491286573532741689146579238753628194289134765928417356674953821315862947
030000001090060043001004006000008000003002807100700030012000000400090000080600200,634529781297861543851374926745938162963142857128756439312487695476295318589613274
000890010067100002000002000409010000001700009020000000000030740200007080500000306,342896517967154832185372694459613278631728459728549163896235741213467985574981326
009002005608500247030001000000306010000020058000000000400000009200019060090700000,749682135618593247532471896987356412364127958125948673471265389253819764896734521
005904030000015400040300008006090000308400510000106000700000000900080000020000891,865974132237815469149362758416598273398427516572136984781649325953281647624753891
100250080000000006000060090800000100000431000000700602930000005007509000060004008,196253784723948516548167293854692137672431859319785642931876425487529361265314978
000002014609000008002700600000060100780500000000000000901000006003405000000030005,537682914619354728842719653395867142784521369126943587951278436263495871478136295
409030080000400300002009000568000700000200806090000000000000002000097560014006000,479631285685472319132859647568943721347215896291768453956384172823197564714526938
640008107201003000000000000800000400090000000006271000020900063960080000100000809,649528137271463985583197246817639452392845671456271398728914563965382714134756829
000013060002000000063090071070000009000020010000905000096200000000004705700800002,957413268142786953863592471675341829439628517281975346596237184328164795714859632
090070008310400000708000506600805000000002000050040190000020000060000003009601000,296573418315468729748219536621895374974132685853746192587324961162957843439681257
201600058003080000000002000402708000000024300000000500095037000800090000000040070,241673958963485712587912463432758691659124387718369524195837246874296135326541879
500492610300000090000700008900200300000570000060000070800060900000100852000900000,578492613324681795196753428957216384483579261261834579812365947639147852745928136
060003000300081060001050700000019420027000610006000080010000000200000000005070193,762943851354781962891256734538619427927834615146527389419365278273198546685472193
080400002690070100005000700000000009002008030000600001930060000400900000007504090,781436952693275148245819763864351279512798634379642581938167425456923817127584396
000100000600402000003000680400500090008000003069800400045000000300000900000920507,584136729697482351123795684431567892758249163269813475945378216372651948816924537
000020000002983040370000005001008200700000000090300450060010500020000090050004860,649527183512983647378146925431658279785492316296371458864719532123865794957234861
050009240000000300061000000017000000000003009205100700830010004000000850000400020,753869241928741365461325978317956482684273519295184736832517694149632857576498123
